flight_id,asset_id,tail_number,flight_date,phase,egt_c,egt_margin_c,n1_pct,n2_pct,oil_pressure_psi,oil_temp_c,vibration_n1_ips,vibration_n2_ips,fuel_flow_pph
N67890-2026-02-18-01,ENG-003,N67890,2026-02-18,cruise,853.1,50.7,88.5,94.3,54.2,88.2,1.2,1.7,2596.3
N67890-2026-02-18-01,ENG-004,N67890,2026-02-18,cruise,849.1,48.8,89.5,93.0,55.3,89.6,0.9,1.6,2675.4
N12345-2026-02-19-01,ENG-001,N12345,2026-02-19,cruise,905.1,44.9,90.4,96.9,56.9,90.9,1.2,1.0,2508.9
N12345-2026-02-19-01,ENG-002,N12345,2026-02-19,cruise,896.1,57.5,91.8,95.4,61.3,87.1,1.2,1.4,2467.6
N67890-2026-02-19-01,ENG-003,N67890,2026-02-19,cruise,847.4,53.4,89.8,93.0,53.0,88.4,0.9,1.7,2708.0
N67890-2026-02-19-01,ENG-004,N67890,2026-02-19,cruise,850.7,52.3,89.0,94.9,57.1,86.8,0.8,1.1,2589.5
N12345-2026-02-20-01,ENG-001,N12345,2026-02-20,cruise,905.3,44.6,90.5,95.4,59.4,91.7,1.0,1.4,2461.1
N12345-2026-02-20-01,ENG-002,N12345,2026-02-20,cruise,894.0,56.6,91.0,95.2,60.0,87.1,0.7,1.0,2449.8
N67890-2026-02-20-01,ENG-003,N67890,2026-02-20,cruise,852.6,53.6,88.6,94.4,51.6,85.1,1.2,1.8,2673.1
N67890-2026-02-20-01,ENG-004,N67890,2026-02-20,cruise,850.7,50.5,88.8,94.0,57.4,88.2,0.9,1.1,2679.9
N12345-2026-02-21-01,ENG-001,N12345,2026-02-21,cruise,905.3,44.3,91.2,95.4,55.8,87.9,1.1,1.3,2489.9
N12345-2026-02-21-01,ENG-002,N12345,2026-02-21,cruise,895.5,54.3,91.3,95.4,57.5,90.5,1.1,0.8,2473.6
N67890-2026-02-21-01,ENG-003,N67890,2026-02-21,cruise,853.5,46.5,89.1,94.0,54.2,88.4,0.9,1.8,2629.4
N67890-2026-02-21-01,ENG-004,N67890,2026-02-21,cruise,847.0,49.6,89.2,93.2,55.1,88.9,1.0,1.3,2624.8
N12345-2026-02-22-01,ENG-001,N12345,2026-02-22,cruise,905.1,44.0,90.9,96.6,59.3,89.4,1.2,1.3,2509.4
N12345-2026-02-22-01,ENG-002,N12345,2026-02-22,cruise,899.3,50.5,92.0,96.9,56.4,91.6,0.6,1.0,2512.3
N67890-2026-02-22-01,ENG-003,N67890,2026-02-22,cruise,846.5,49.4,90.0,93.8,54.6,90.2,1.3,1.8,2635.1
N67890-2026-02-22-01,ENG-004,N67890,2026-02-22,cruise,846.8,52.3,89.3,93.7,53.1,87.2,1.0,1.4,2596.7
N12345-2026-02-23-01,ENG-001,N12345,2026-02-23,cruise,905.3,43.7,90.0,95.6,59.0,90.3,1.0,1.4,2469.7
N12345-2026-02-23-01,ENG-002,N12345,2026-02-23,cruise,896.8,57.5,91.5,95.2,60.9,88.5,1.1,1.3,2421.9
N67890-2026-02-23-01,ENG-003,N67890,2026-02-23,cruise,852.3,50.8,89.4,93.1,51.2,89.4,1.0,1.8,2618.1
N67890-2026-02-23-01,ENG-004,N67890,2026-02-23,cruise,851.0,48.5,89.0,93.6,56.9,88.4,0.9,1.4,2650.7
N12345-2026-02-24-01,ENG-001,N12345,2026-02-24,cruise,906.2,43.4,90.6,95.3,59.0,88.3,0.9,0.9,2553.8
N12345-2026-02-24-01,ENG-002,N12345,2026-02-24,cruise,893.8,55.0,90.9,96.0,61.8,91.6,1.0,1.3,2458.2
N67890-2026-02-24-01,ENG-003,N67890,2026-02-24,cruise,852.6,52.0,88.9,94.7,52.5,86.8,1.2,1.8,2686.7
N67890-2026-02-24-01,ENG-004,N67890,2026-02-24,cruise,844.8,55.7,89.1,93.3,53.5,85.2,1.1,1.6,2671.7
N12345-2026-02-25-01,ENG-001,N12345,2026-02-25,cruise,906.1,43.1,91.4,95.4,56.6,91.0,1.1,1.4,2462.6
N12345-2026-02-25-01,ENG-002,N12345,2026-02-25,cruise,894.3,54.5,91.0,96.7,58.0,91.7,0.6,1.4,2535.4
N67890-2026-02-25-01,ENG-003,N67890,2026-02-25,cruise,846.0,47.9,89.2,93.4,50.7,90.5,1.1,1.8,2683.1
N67890-2026-02-25-01,ENG-004,N67890,2026-02-25,cruise,849.1,50.9,88.5,94.0,55.0,84.6,1.3,1.3,2670.8
N12345-2026-02-26-01,ENG-001,N12345,2026-02-26,cruise,907.9,42.9,90.7,95.8,58.4,88.3,0.8,1.1,2552.2
N12345-2026-02-26-01,ENG-002,N12345,2026-02-26,cruise,895.2,51.2,90.7,95.8,61.0,89.0,1.0,1.2,2450.9
N67890-2026-02-26-01,ENG-003,N67890,2026-02-26,cruise,846.6,49.9,88.3,94.6,54.9,86.0,1.2,1.9,2648.6
N67890-2026-02-26-01,ENG-004,N67890,2026-02-26,cruise,844.8,53.1,88.1,93.1,57.1,89.7,1.1,1.5,2619.5
N12345-2026-02-27-01,ENG-001,N12345,2026-02-27,cruise,908.1,42.6,90.5,96.4,55.1,90.0,0.9,1.3,2520.0
N12345-2026-02-27-01,ENG-002,N12345,2026-02-27,cruise,895.1,53.9,90.0,96.1,56.1,89.2,0.8,1.4,2422.1
N67890-2026-02-27-01,ENG-003,N67890,2026-02-27,cruise,849.2,53.3,88.2,93.2,54.9,85.9,0.9,1.9,2653.2
N67890-2026-02-27-01,ENG-004,N67890,2026-02-27,cruise,845.0,51.2,88.7,93.8,55.4,89.9,0.8,1.4,2671.7
N12345-2026-02-28-01,ENG-001,N12345,2026-02-28,cruise,908.0,42.3,91.7,96.5,55.6,89.3,1.0,0.9,2441.1
N12345-2026-02-28-01,ENG-002,N12345,2026-02-28,cruise,898.6,53.5,91.6,96.1,61.1,86.6,0.9,0.8,2445.4
N67890-2026-02-28-01,ENG-003,N67890,2026-02-28,cruise,846.9,46.4,88.1,94.9,55.2,90.4,1.1,1.9,2593.9
N67890-2026-02-28-01,ENG-004,N67890,2026-02-28,cruise,844.2,55.7,89.2,94.5,56.3,86.4,0.7,1.1,2598.9
N12345-2026-03-01-01,ENG-001,N12345,2026-03-01,cruise,908.7,42.0,90.8,96.8,57.0,91.5,0.8,1.5,2526.9
N12345-2026-03-01-01,ENG-002,N12345,2026-03-01,cruise,896.9,50.4,90.9,96.7,58.0,90.6,1.2,1.0,2512.8
N67890-2026-03-01-01,ENG-003,N67890,2026-03-01,cruise,852.8,49.9,88.7,94.9,50.2,87.6,1.2,1.9,2669.3
N67890-2026-03-01-01,ENG-004,N67890,2026-03-01,cruise,851.5,54.4,89.4,93.2,52.9,88.3,1.1,1.4,2608.0
N12345-2026-03-02-01,ENG-001,N12345,2026-03-02,cruise,907.4,41.8,90.0,95.6,57.2,88.6,0.8,1.0,2493.9
N12345-2026-03-02-01,ENG-002,N12345,2026-03-02,cruise,895.4,50.2,90.7,95.2,59.6,87.9,0.8,1.0,2466.5
N67890-2026-03-02-01,ENG-003,N67890,2026-03-02,cruise,847.6,53.8,89.1,93.3,50.5,87.3,0.9,1.9,2626.1
N67890-2026-03-02-01,ENG-004,N67890,2026-03-02,cruise,847.2,51.5,88.8,94.0,52.5,85.5,0.8,1.4,2641.3
N12345-2026-03-03-01,ENG-001,N12345,2026-03-03,cruise,907.8,41.6,90.2,95.6,60.7,89.0,1.1,1.4,2479.5
N12345-2026-03-03-01,ENG-002,N12345,2026-03-03,cruise,897.9,56.9,91.9,95.3,57.9,91.7,0.7,1.0,2535.7
N67890-2026-03-03-01,ENG-003,N67890,2026-03-03,cruise,852.1,49.9,89.2,93.5,42.9,87.3,1.3,2.0,2637.2
N67890-2026-03-03-01,ENG-004,N67890,2026-03-03,cruise,851.2,52.7,89.1,94.4,55.3,89.7,1.0,1.4,2622.6
N12345-2026-03-04-01,ENG-001,N12345,2026-03-04,cruise,908.2,41.4,91.4,96.6,59.8,89.5,1.0,1.3,2469.0
N12345-2026-03-04-01,ENG-002,N12345,2026-03-04,cruise,895.1,56.3,90.1,97.0,58.9,88.4,0.9,1.4,2503.0
N67890-2026-03-04-01,ENG-003,N67890,2026-03-04,cruise,847.4,53.2,89.1,94.3,42.1,85.5,1.3,2.0,2668.9
N67890-2026-03-04-01,ENG-004,N67890,2026-03-04,cruise,849.5,48.4,90.0,94.4,54.4,88.5,1.3,1.3,2571.3
N12345-2026-03-05-01,ENG-001,N12345,2026-03-05,cruise,908.3,41.2,91.0,96.0,58.5,90.5,1.0,1.1,2532.7
N12345-2026-03-05-01,ENG-002,N12345,2026-03-05,cruise,895.3,52.8,90.0,95.2,58.5,91.8,0.7,1.4,2437.0
N67890-2026-03-05-01,ENG-003,N67890,2026-03-05,cruise,849.8,49.9,89.0,93.9,41.6,89.2,1.0,2.0,2626.0
N67890-2026-03-05-01,ENG-004,N67890,2026-03-05,cruise,844.7,54.8,89.3,94.4,53.0,89.9,0.8,1.1,2589.2
N12345-2026-03-06-01,ENG-001,N12345,2026-03-06,cruise,909.2,40.9,91.9,95.5,57.4,88.1,1.1,1.2,2443.5
N12345-2026-03-06-01,ENG-002,N12345,2026-03-06,cruise,894.5,54.7,90.8,96.4,57.2,90.5,1.1,0.8,2432.2
N67890-2026-03-06-01,ENG-003,N67890,2026-03-06,cruise,852.2,49.7,88.5,94.7,55.2,88.2,1.2,2.0,2661.6
N67890-2026-03-06-01,ENG-004,N67890,2026-03-06,cruise,847.3,50.8,89.7,94.2,56.9,88.2,0.9,1.4,2580.2
N12345-2026-03-07-01,ENG-001,N12345,2026-03-07,cruise,908.6,40.7,90.2,95.6,56.1,91.2,1.0,1.2,2456.5
N12345-2026-03-07-01,ENG-002,N12345,2026-03-07,cruise,896.3,55.1,91.4,96.3,62.0,89.3,0.9,0.9,2457.7
N67890-2026-03-07-01,ENG-003,N67890,2026-03-07,cruise,853.3,46.1,88.3,94.6,52.7,90.8,1.1,2.1,2649.4
N67890-2026-03-07-01,ENG-004,N67890,2026-03-07,cruise,846.3,54.7,89.0,93.2,52.2,88.6,0.9,1.2,2634.5
N12345-2026-03-08-01,ENG-001,N12345,2026-03-08,cruise,908.8,40.5,90.9,96.5,59.6,90.3,0.8,1.0,2533.0
N12345-2026-03-08-01,ENG-002,N12345,2026-03-08,cruise,893.1,56.6,90.1,96.4,59.3,91.9,0.7,1.3,2510.2
N67890-2026-03-08-01,ENG-003,N67890,2026-03-08,cruise,845.9,48.8,89.6,93.9,51.8,91.0,1.3,2.1,2618.4
N67890-2026-03-08-01,ENG-004,N67890,2026-03-08,cruise,845.7,50.8,89.4,94.3,53.0,84.8,0.8,1.1,2577.1
N12345-2026-03-09-01,ENG-001,N12345,2026-03-09,cruise,909.4,40.3,90.6,96.1,56.9,91.2,0.9,1.1,2543.0
N12345-2026-03-09-01,ENG-002,N12345,2026-03-09,cruise,892.5,50.8,91.9,96.6,61.5,92.0,1.1,0.9,2523.9
N67890-2026-03-09-01,ENG-003,N67890,2026-03-09,cruise,849.0,52.1,89.4,94.0,51.5,88.5,1.0,2.0,2639.7
N67890-2026-03-09-01,ENG-004,N67890,2026-03-09,cruise,848.7,55.0,88.2,94.0,53.7,89.6,0.9,1.6,2609.3
N12345-2026-03-10-01,ENG-001,N12345,2026-03-10,cruise,908.9,40.1,91.5,96.5,59.4,89.8,1.1,1.1,2447.6
N12345-2026-03-10-01,ENG-002,N12345,2026-03-10,cruise,895.1,53.4,90.4,95.5,61.0,88.0,0.9,1.1,2478.2
N67890-2026-03-10-01,ENG-003,N67890,2026-03-10,cruise,847.6,46.8,89.6,93.9,52.1,85.7,1.3,2.0,2643.0
N67890-2026-03-10-01,ENG-004,N67890,2026-03-10,cruise,852.9,49.6,89.4,93.3,55.9,85.0,1.3,1.2,2648.6
N12345-2026-03-11-01,ENG-001,N12345,2026-03-11,cruise,909.6,39.9,90.7,96.8,56.0,89.4,0.9,1.3,2468.1
N12345-2026-03-11-01,ENG-002,N12345,2026-03-11,cruise,895.2,50.0,91.0,95.3,57.4,90.1,0.6,1.2,2518.1
N67890-2026-03-11-01,ENG-003,N67890,2026-03-11,cruise,849.9,46.6,88.8,94.5,55.9,85.6,1.0,1.9,2695.7
N67890-2026-03-11-01,ENG-004,N67890,2026-03-11,cruise,851.4,54.0,88.3,95.0,52.9,87.2,0.7,1.4,2622.8
N12345-2026-03-12-01,ENG-001,N12345,2026-03-12,cruise,910.7,39.7,91.3,95.3,57.5,91.1,1.2,1.0,2452.1
N12345-2026-03-12-01,ENG-002,N12345,2026-03-12,cruise,894.2,53.1,91.9,95.6,56.8,87.7,0.7,1.1,2492.0
N67890-2026-03-12-01,ENG-003,N67890,2026-03-12,cruise,848.2,52.8,89.3,93.6,53.6,88.1,1.1,1.9,2679.7
N67890-2026-03-12-01,ENG-004,N67890,2026-03-12,cruise,848.7,55.2,89.9,94.0,52.7,87.0,1.1,1.3,2687.3
N12345-2026-03-13-01,ENG-001,N12345,2026-03-13,cruise,911.5,39.5,91.9,95.3,60.2,90.4,0.9,1.3,2531.5
N12345-2026-03-13-01,ENG-002,N12345,2026-03-13,cruise,892.9,50.1,90.1,95.5,56.2,86.4,1.1,1.1,2495.4
N67890-2026-03-13-01,ENG-003,N67890,2026-03-13,cruise,851.1,46.7,89.1,94.2,53.0,86.7,1.0,1.8,2651.4
N67890-2026-03-13-01,ENG-004,N67890,2026-03-13,cruise,851.0,52.3,88.8,94.3,57.0,88.1,0.7,1.4,2657.6
N12345-2026-03-14-01,ENG-001,N12345,2026-03-14,cruise,911.4,39.3,90.1,95.2,57.6,89.7,1.1,1.1,2529.0
N12345-2026-03-14-01,ENG-002,N12345,2026-03-14,cruise,893.3,55.7,91.4,95.3,61.7,89.1,1.1,1.2,2440.0
N67890-2026-03-14-01,ENG-003,N67890,2026-03-14,cruise,847.3,53.1,89.5,93.1,50.8,89.8,1.0,1.8,2597.7
N67890-2026-03-14-01,ENG-004,N67890,2026-03-14,cruise,846.5,48.6,88.9,93.7,55.0,87.4,0.9,1.2,2582.3
N12345-2026-03-15-01,ENG-001,N12345,2026-03-15,cruise,911.0,39.1,91.4,95.5,58.1,87.3,1.2,1.0,2496.6
N12345-2026-03-15-01,ENG-002,N12345,2026-03-15,cruise,896.2,57.4,91.7,96.1,61.5,90.4,0.9,1.0,2470.0
N67890-2026-03-15-01,ENG-003,N67890,2026-03-15,cruise,851.0,49.0,89.0,94.8,54.3,86.1,1.3,1.7,2707.8
N67890-2026-03-15-01,ENG-004,N67890,2026-03-15,cruise,843.5,51.7,88.6,94.7,54.0,87.3,0.7,1.1,2637.7
N12345-2026-03-16-01,ENG-001,N12345,2026-03-16,cruise,910.8,38.8,91.2,95.9,58.6,90.0,1.2,1.0,2548.1
N12345-2026-03-16-01,ENG-002,N12345,2026-03-16,cruise,893.4,50.1,90.8,95.5,58.1,91.0,1.1,1.4,2420.2
N67890-2026-03-16-01,ENG-003,N67890,2026-03-16,cruise,847.7,46.8,89.1,93.5,53.9,88.0,0.8,1.6,2709.6
N67890-2026-03-16-01,ENG-004,N67890,2026-03-16,cruise,845.5,55.4,89.8,94.0,56.2,86.2,1.3,1.1,2581.5
N12345-2026-03-17-01,ENG-001,N12345,2026-03-17,cruise,910.7,38.6,91.6,95.1,58.4,89.6,1.3,1.0,2471.3
N12345-2026-03-17-01,ENG-002,N12345,2026-03-17,cruise,898.1,55.6,91.5,95.6,57.6,86.4,0.7,1.3,2490.2
N67890-2026-03-17-01,ENG-003,N67890,2026-03-17,cruise,852.6,49.3,89.1,94.9,50.9,86.2,1.0,1.6,2621.8
N67890-2026-03-17-01,ENG-004,N67890,2026-03-17,cruise,850.3,53.5,89.7,94.4,52.2,89.0,0.9,1.1,2599.8
N12345-2026-03-18-01,ENG-001,N12345,2026-03-18,cruise,911.3,38.4,91.0,96.4,56.6,92.9,0.7,1.1,2494.3
N12345-2026-03-18-01,ENG-002,N12345,2026-03-18,cruise,893.5,53.7,91.6,95.3,56.1,91.0,1.2,0.9,2518.8
N67890-2026-03-18-01,ENG-003,N67890,2026-03-18,cruise,849.3,50.7,88.5,94.6,52.2,85.1,0.8,1.5,2698.3
N67890-2026-03-18-01,ENG-004,N67890,2026-03-18,cruise,847.8,55.2,89.7,93.7,52.3,86.8,0.8,1.3,2668.6
N12345-2026-03-19-01,ENG-001,N12345,2026-03-19,cruise,911.6,38.2,90.1,96.4,56.0,88.3,0.8,1.1,2546.0
N12345-2026-03-19-01,ENG-002,N12345,2026-03-19,cruise,899.9,52.0,90.6,95.8,59.3,86.4,0.8,0.9,2443.9
N67890-2026-03-19-01,ENG-003,N67890,2026-03-19,cruise,850.1,52.4,89.6,95.0,55.3,89.7,1.0,1.5,2655.3
N67890-2026-03-19-01,ENG-004,N67890,2026-03-19,cruise,848.9,52.0,88.8,93.4,53.9,85.3,1.2,1.5,2577.0
N12345-2026-03-20-01,ENG-001,N12345,2026-03-20,cruise,913.0,38.0,91.1,96.5,61.0,92.8,0.8,1.3,2472.0
N12345-2026-03-20-01,ENG-002,N12345,2026-03-20,cruise,894.3,50.4,92.0,95.4,61.1,90.8,0.8,1.3,2521.4
N67890-2026-03-20-01,ENG-003,N67890,2026-03-20,cruise,849.9,51.6,89.8,93.1,51.1,89.2,1.4,1.4,2657.6
N67890-2026-03-20-01,ENG-004,N67890,2026-03-20,cruise,846.9,55.9,89.8,94.0,53.9,86.9,0.8,1.1,2596.3
N12345-2026-03-21-01,ENG-001,N12345,2026-03-21,cruise,912.5,37.6,90.0,96.8,56.2,87.8,1.1,1.5,2541.3
N12345-2026-03-21-01,ENG-002,N12345,2026-03-21,cruise,896.4,54.7,91.8,96.5,61.1,91.2,1.2,1.0,2533.0
N67890-2026-03-21-01,ENG-003,N67890,2026-03-21,cruise,852.8,47.1,88.3,94.9,52.4,89.8,1.4,1.4,2667.9
N67890-2026-03-21-01,ENG-004,N67890,2026-03-21,cruise,851.5,53.5,89.9,94.6,53.3,87.5,0.8,1.2,2652.6
N12345-2026-03-22-01,ENG-001,N12345,2026-03-22,cruise,912.1,37.2,91.5,96.9,60.7,89.3,1.3,1.5,2443.9
N12345-2026-03-22-01,ENG-002,N12345,2026-03-22,cruise,896.0,57.7,90.4,96.1,61.6,86.8,1.0,0.9,2537.9
N67890-2026-03-22-01,ENG-003,N67890,2026-03-22,cruise,846.1,51.7,89.3,94.8,51.0,87.7,1.0,1.4,2619.9
N67890-2026-03-22-01,ENG-004,N67890,2026-03-22,cruise,851.0,48.9,88.0,93.8,56.4,89.8,1.2,1.3,2615.4
N12345-2026-03-23-01,ENG-001,N12345,2026-03-23,cruise,913.3,36.8,90.2,96.0,60.2,90.9,1.1,1.0,2448.8
N12345-2026-03-23-01,ENG-002,N12345,2026-03-23,cruise,892.8,52.5,91.9,95.1,57.0,88.3,1.0,1.1,2527.8
N67890-2026-03-23-01,ENG-003,N67890,2026-03-23,cruise,849.4,49.9,88.1,94.9,50.6,86.0,1.3,1.5,2608.9
N67890-2026-03-23-01,ENG-004,N67890,2026-03-23,cruise,850.6,49.5,89.4,94.4,56.4,85.6,0.9,1.1,2576.0
N12345-2026-03-24-01,ENG-001,N12345,2026-03-24,cruise,913.8,36.3,91.7,95.3,57.2,89.6,0.9,1.3,2512.0
N12345-2026-03-24-01,ENG-002,N12345,2026-03-24,cruise,897.5,51.4,90.6,95.2,61.1,87.9,0.8,1.1,2499.3
N67890-2026-03-24-01,ENG-003,N67890,2026-03-24,cruise,849.0,53.1,88.7,93.9,50.5,86.6,1.1,1.5,2617.1
N67890-2026-03-24-01,ENG-004,N67890,2026-03-24,cruise,849.0,54.0,89.3,93.2,54.1,87.2,1.3,1.4,2636.4
N12345-2026-03-25-01,ENG-001,N12345,2026-03-25,cruise,914.8,35.9,91.6,95.8,58.2,92.2,1.0,1.4,2497.2
N12345-2026-03-25-01,ENG-002,N12345,2026-03-25,cruise,900.2,55.7,91.0,96.8,60.8,90.1,1.0,0.9,2510.9
N67890-2026-03-25-01,ENG-003,N67890,2026-03-25,cruise,847.0,52.5,88.3,93.8,51.0,90.9,1.1,1.5,2709.7
N67890-2026-03-25-01,ENG-004,N67890,2026-03-25,cruise,847.7,50.1,89.8,94.8,52.4,86.3,0.9,1.2,2603.1
N12345-2026-03-26-01,ENG-001,N12345,2026-03-26,cruise,914.4,35.5,91.7,96.6,58.7,90.1,1.0,1.1,2457.8
N12345-2026-03-26-01,ENG-002,N12345,2026-03-26,cruise,895.8,57.5,91.8,96.1,56.6,87.7,0.9,1.0,2469.3
N67890-2026-03-26-01,ENG-003,N67890,2026-03-26,cruise,850.3,46.3,88.6,93.3,52.3,88.7,1.2,1.5,2594.7
N67890-2026-03-26-01,ENG-004,N67890,2026-03-26,cruise,844.6,49.9,89.5,94.8,57.4,84.1,1.2,1.2,2603.6
N12345-2026-03-27-01,ENG-001,N12345,2026-03-27,cruise,914.9,35.1,91.4,95.2,60.2,87.8,1.3,1.2,2539.1
N12345-2026-03-27-01,ENG-002,N12345,2026-03-27,cruise,897.6,55.2,90.4,95.4,60.9,90.4,1.1,1.3,2518.5
N67890-2026-03-27-01,ENG-003,N67890,2026-03-27,cruise,852.3,50.1,88.3,94.7,53.1,90.3,0.8,1.6,2613.1
N67890-2026-03-27-01,ENG-004,N67890,2026-03-27,cruise,846.0,50.0,88.9,94.8,56.2,85.6,1.2,1.3,2646.2
N12345-2026-03-28-01,ENG-001,N12345,2026-03-28,cruise,914.5,34.7,90.1,95.7,58.6,88.1,1.2,1.3,2482.0
N12345-2026-03-28-01,ENG-002,N12345,2026-03-28,cruise,899.5,56.0,91.4,95.6,58.3,87.0,0.9,1.4,2522.9
N67890-2026-03-28-01,ENG-003,N67890,2026-03-28,cruise,848.1,49.3,88.0,94.6,53.9,89.6,0.8,1.6,2699.4
N67890-2026-03-28-01,ENG-004,N67890,2026-03-28,cruise,847.0,48.1,88.5,94.6,53.8,89.8,1.1,1.3,2615.2
N12345-2026-03-29-01,ENG-001,N12345,2026-03-29,cruise,915.5,34.2,90.5,95.9,59.1,91.9,0.9,1.0,2501.4
N12345-2026-03-29-01,ENG-002,N12345,2026-03-29,cruise,895.4,53.0,91.3,96.2,57.8,86.6,0.6,1.4,2496.9
N67890-2026-03-29-01,ENG-003,N67890,2026-03-29,cruise,852.3,53.1,88.6,93.3,55.2,89.6,1.3,1.6,2686.7
N67890-2026-03-29-01,ENG-004,N67890,2026-03-29,cruise,845.8,53.3,89.4,94.4,55.9,90.0,0.9,1.3,2616.6
N12345-2026-03-30-01,ENG-001,N12345,2026-03-30,cruise,915.3,33.8,91.4,96.1,56.1,91.4,0.8,1.2,2534.2
N12345-2026-03-30-01,ENG-002,N12345,2026-03-30,cruise,893.0,54.1,91.7,96.7,61.3,87.1,0.7,0.9,2451.0
N67890-2026-03-30-01,ENG-003,N67890,2026-03-30,cruise,847.3,51.4,88.7,93.2,54.9,87.1,1.2,1.6,2626.9
N67890-2026-03-30-01,ENG-004,N67890,2026-03-30,cruise,845.4,50.1,88.6,94.7,54.8,89.2,1.1,1.6,2578.5
N12345-2026-03-31-01,ENG-001,N12345,2026-03-31,cruise,917.4,33.4,91.0,96.7,57.3,88.8,0.7,1.4,2456.5
N12345-2026-03-31-01,ENG-002,N12345,2026-03-31,cruise,898.2,54.6,91.8,95.9,57.9,90.3,1.1,1.1,2495.7
N67890-2026-03-31-01,ENG-003,N67890,2026-03-31,cruise,847.9,48.2,89.5,93.3,51.1,89.6,1.1,1.7,2681.6
N67890-2026-03-31-01,ENG-004,N67890,2026-03-31,cruise,851.5,53.1,88.8,94.9,54.3,84.2,0.8,1.2,2571.7
N12345-2026-04-01-01,ENG-001,N12345,2026-04-01,cruise,916.6,33.0,91.7,95.4,59.1,90.8,0.8,1.3,2481.3
N12345-2026-04-01-01,ENG-002,N12345,2026-04-01,cruise,898.8,54.7,90.3,96.6,57.8,87.7,1.0,1.2,2460.5
N67890-2026-04-01-01,ENG-003,N67890,2026-04-01,cruise,845.7,53.2,88.7,93.4,55.3,90.7,1.4,1.7,2638.4
N67890-2026-04-01-01,ENG-004,N67890,2026-04-01,cruise,850.7,49.0,89.5,94.2,53.0,86.2,1.1,1.0,2675.2
N12345-2026-04-02-01,ENG-001,N12345,2026-04-02,cruise,916.8,32.7,91.1,95.1,61.0,91.0,1.1,0.9,2522.8
N12345-2026-04-02-01,ENG-002,N12345,2026-04-02,cruise,896.5,54.4,90.9,95.3,60.2,89.8,0.8,1.2,2499.5
N67890-2026-04-02-01,ENG-003,N67890,2026-04-02,cruise,848.5,52.6,88.2,94.4,51.6,85.7,0.9,1.7,2602.8
N67890-2026-04-02-01,ENG-004,N67890,2026-04-02,cruise,849.8,50.1,89.0,93.4,56.2,85.8,0.7,1.3,2594.9
N12345-2026-04-03-01,ENG-001,N12345,2026-04-03,cruise,918.5,32.4,90.7,95.0,59.0,92.4,1.2,1.3,2457.9
N12345-2026-04-03-01,ENG-002,N12345,2026-04-03,cruise,899.3,55.8,90.2,95.5,57.4,91.9,0.8,1.1,2432.0
N67890-2026-04-03-01,ENG-003,N67890,2026-04-03,cruise,853.3,52.4,88.6,94.5,51.0,85.6,1.3,1.8,2595.5
N67890-2026-04-03-01,ENG-004,N67890,2026-04-03,cruise,845.5,49.4,88.7,93.9,55.7,89.3,0.8,1.5,2591.9
N12345-2026-04-04-01,ENG-001,N12345,2026-04-04,cruise,917.7,32.1,91.9,95.5,57.3,92.1,1.2,1.3,2535.6
N12345-2026-04-04-01,ENG-002,N12345,2026-04-04,cruise,899.5,50.5,91.9,95.3,58.5,89.5,1.1,1.2,2441.8
N67890-2026-04-04-01,ENG-003,N67890,2026-04-04,cruise,850.2,51.5,89.7,94.9,52.3,85.8,1.4,1.8,2603.6
N67890-2026-04-04-01,ENG-004,N67890,2026-04-04,cruise,847.8,50.1,88.6,94.4,56.1,88.6,1.0,1.3,2687.3
N12345-2026-04-05-01,ENG-001,N12345,2026-04-05,cruise,918.5,31.8,90.7,96.0,59.2,87.6,1.1,1.0,2481.5
N12345-2026-04-05-01,ENG-002,N12345,2026-04-05,cruise,894.4,56.7,91.1,97.0,56.3,89.9,0.7,1.3,2522.2
N67890-2026-04-05-01,ENG-003,N67890,2026-04-05,cruise,853.4,47.9,89.9,93.1,55.2,86.3,1.2,1.8,2638.4
N67890-2026-04-05-01,ENG-004,N67890,2026-04-05,cruise,850.0,54.4,88.9,94.7,54.7,84.7,1.0,1.4,2582.3
N12345-2026-04-06-01,ENG-001,N12345,2026-04-06,cruise,918.3,31.5,91.1,95.0,55.5,90.6,1.1,1.1,2501.0
N12345-2026-04-06-01,ENG-002,N12345,2026-04-06,cruise,898.6,57.6,90.7,95.1,57.3,88.7,0.9,1.2,2476.8
N67890-2026-04-06-01,ENG-003,N67890,2026-04-06,cruise,847.5,52.1,88.4,93.7,53.9,90.0,1.4,1.9,2625.0
N67890-2026-04-06-01,ENG-004,N67890,2026-04-06,cruise,848.2,48.4,88.3,93.3,56.3,88.3,0.8,1.4,2592.5
N12345-2026-04-07-01,ENG-001,N12345,2026-04-07,cruise,919.7,31.2,90.8,95.9,59.7,91.3,0.8,1.1,2551.2
N12345-2026-04-07-01,ENG-002,N12345,2026-04-07,cruise,893.5,56.2,90.9,96.3,61.7,86.8,0.9,1.1,2425.8
N67890-2026-04-07-01,ENG-003,N67890,2026-04-07,cruise,847.3,50.1,89.8,93.4,55.6,88.5,1.2,1.9,2605.4
N67890-2026-04-07-01,ENG-004,N67890,2026-04-07,cruise,849.1,55.1,89.0,93.8,57.9,89.5,1.2,1.2,2685.6
N12345-2026-04-08-01,ENG-001,N12345,2026-04-08,cruise,920.0,30.9,90.9,95.3,57.5,91.2,1.1,1.1,2524.2
